Spam Liker Name,Spam Site,Spam Wordpress Reader Link,Spam Like Count,Gravatar URL,Last Detected
Sebastian,https://relatocorto.com/,https://wordpress.com/read/blogs/127265393,6,https://1.gravatar.com/avatar/48e13a572631d39be07beb7a3f825819?s=96&d=mm&r=G,8/15/21
DirtySciFiBudda,http://dirtyscifibuddha.com/,https://wordpress.com/read/blogs/91350856,5,https://2.gravatar.com/avatar/b2d18a3d2bd919cf55d6d74f3278646e?s=96&d=mm&r=G,6/6/21
Elena,https://shortwisdom.wordpress.com/,https://wordpress.com/read/blogs/189033716,5,https://2.gravatar.com/avatar/2d7699b189a0d1e40a506aa3b8cad2dc?s=96&d=mm&r=G,5/15/21
StCyril,http://jamesharringtoncreative.work/,https://wordpress.com/read/blogs/75363874,1,https://0.gravatar.com/avatar/0288b7f316b1fa575fb074536e7211c6?s=96&d=mm&r=G,5/8/21
Christina D. Smith,https://relatocorto.com/,https://wordpress.com/read/blogs/127265393,2,https://1.gravatar.com/avatar/42d2ea12125cf51907d4603783548c21?s=96&d=mm&r=G,
Elizabeth R. Bogle,https://relatocorto.com/,https://wordpress.com/read/blogs/127265393,1,https://2.gravatar.com/avatar/8700be8c0fa50525796c729a3bd7af96?s=96&d=mm&r=G,
Don Prewitt,http://finds.guru/,https://wordpress.com/read/blogs/191838632,1,https://0.gravatar.com/avatar/0eb7bc036c5247968cc32e6d4cbc9b78?s=96&d=mm&r=G,
Cynthia Traylor ,http://finds.guru/,https://wordpress.com/read/blogs/191838632,1,https://2.gravatar.com/avatar/2ac13649ae0b694324e1cbe3c4eca788?s=96&d=mm&r=G,
Oluwadamilaretitilope,https://yngtee.wordpress.com/,https://wordpress.com/read/blogs/192058528,1,https://0.gravatar.com/avatar/ce73444b36e848ab6799991ce6af66f5?s=96&d=mm&r=G,
Alexis Ryder,https://storiesivenevertold.wordpress.com/,https://wordpress.com/read/blogs/134568907,1,https://2.gravatar.com/avatar/848703627008dabd9298d55bfdaef6b2?s=96&d=mm&r=G,
Jordan Peters,https://artofblogging.net/,https://wordpress.com/read/blogs/79658252,1,https://0.gravatar.com/avatar/623b56c3466542063cdcdb4a20cbdcbf?s=96&d=mm&r=G,
Bogdan (DM),http://pointlessoverthinking.com/,https://wordpress.com/read/blogs/143762023,2,https://1.gravatar.com/avatar/d1fd814f583784f6b772f6bf0b92131c?s=96&d=mm&r=G,
Norther,http://churchovsolitude.com/,https://wordpress.com/read/blogs/177987661,1,https://2.gravatar.com/avatar/e98fdbc7481828d4953cdefb9f8714f1?s=96&d=mm&r=G,
kikacarvalho,http://kikacarvalhoonline.wordpress.com/,https://wordpress.com/read/blogs/175012365,3,https://1.gravatar.com/avatar/a6d52e51984b8b39839f49acfa65889b?s=96&d=mm&r=G,
" JAcKiEs ""DAiLY MEnTAL"" ObSeSsiOnZ",https://jackiesobsessionzonadaily.com/,https://wordpress.com/read/blogs/188117706,1,https://2.gravatar.com/avatar/bd8ce23725deb808f6709d269a37b92d?s=96&d=mm&r=G,
NEKNEERAJ,https://exposedemotions.wordpress.com/,https://wordpress.com/read/blogs/34592664,1,https://1.gravatar.com/avatar/a66867d810e4de3f9e48a6b0aa048394?d=mm&r=G&s=96,
Simplified By Me,http://simplifytasks.com/,https://wordpress.com/read/blogs/145892630,1,https://1.gravatar.com/avatar/d19ec1b6803210418071e8b1081f51e8?s=96&d=mm&r=G,
Emotions Passion,https://emotionspassion.wordpress.com/,https://wordpress.com/read/blogs/131546063,9,https://1.gravatar.com/avatar/ae9f5c6dafa6faa41ac2098c1d3ba94c?s=96&d=mm&r=G,
Mayank Joshi,https://wordpress.com/read/blogs/136087112,http://travelemydream.com/,1,https://2.gravatar.com/avatar/8a35200eab82b0c0d5bbca1bcb81d805?d=mm&r=G&s=96,7/28/21
TheEnlightenedMind622,https://wordpress.com/read/feeds/86342372,https://theenlightenedmind622.wordpress.com/,1,https://0.gravatar.com/avatar/fff6a0b52c4de1b7f0e061aec4505ce7?d=mm&r=G&s=96,8/10/21